report taken
1 2 3 4 5 6 7 8 9 
4 5 6 7 8 9 1 2 3 
7 8 9 1 2 3 4 5 6 
2 1 4 3 6 5 8 9 7 
3 6 5 8 9 7 2 1 4 
8 9 7 2 1 4 3 6 5 
5 3 1 6 4 2 9 7 8 
6 4 2 9 7 8 5 3 1 
9 7 8 5 3 1 6 4 2 
report taken
3 4 5 1 2 6 7 8 9 
1 2 6 7 8 9 3 4 5 
7 8 9 3 4 5 1 2 6 
2 1 3 4 5 7 6 9 8 
4 5 7 6 9 8 2 1 3 
6 9 8 2 1 3 4 5 7 
5 3 1 8 6 2 9 7 4 
8 6 2 9 7 4 5 3 1 
9 7 4 5 3 1 8 6 2 
report taken
1 1 2 3 4 5 7 6 0 
0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 0 0 0 
report taken
1 2 6 3 4 7 8 5 9 
3 4 5 1 8 9 2 6 7 
7 8 9 2 5 6 1 3 4 
2 1 3 4 6 5 7 9 8 
4 5 7 8 9 1 3 2 6 
6 9 8 7 2 3 4 1 5 
5 3 1 6 7 4 9 8 2 
8 6 4 9 1 2 5 7 3 
9 7 2 5 3 8 6 4 1 
